A	ACCELERATION
ID2PPT	"2" INNER DOOR ZONE FOR LCF
ID2RUN	IDZPPT AND RUN BOTH SET FLAG        
IDZ	INNER DOOR ZONE
IDZ1	INNER DOOR ZONE 1 GPIO
IDZ2	INNER DOOR ZONE 2 GPIO
IDZFLG	INNER DOOR ZONE FLAG
IDZPPT	INNER DOOR ZONE PPT
IDZS	I + M  CHANGES
IEE0X	
IEEX0	
IGF	FEEDBACK GEN FIELD CURRENT
IGFF	FILTERED GEN FIELD CURRENT
IHLT	HALL LANTERN CURRENT
IISBAR	ACCESS MODE SELECT
IMF	FEEDBACK MOTOR FIELD CURRENT
IMFF	FILTERED MOTOR FIELD CURRENT
IMOD13	S-H INHIBIT MODE 13 FLAG
IMON	MONITOR VARIABLE
IMXDO	CANCEL DO FROM DIPSWITCH
INDJK	PPT INITIALIZATION INDICATOR JK
INDS	INDEPENDENT SERVICE
INDSS	LATCHED IND
INDXY	PPT INITIALIZATION INDICATOR XY
ISS	INDEPENDENT SERVICE SWITCH
ISSM	INITIATE SPEECH SERVICE
J	POWER AT 44V AND IN PHASE CONTACT
K17	INTEGRATOR GAIN
K17A	INTEGRATOR GAIN ADJUSTMENT VALUE
K17I	INTERMEDIATE K17
K40	BIAS GAIN
KHBP	HALL BUTTON PROTECTION
KIDS	SIGNAL KIDS
KPROP	PROPORTIONAL GAIN CONSTANT
KPROPI	PROPORTIONAL GAIN INITIAL VALUE
KPROPL	KPROP LOW
KPRPLL	KPROP LOW
KWDTF	CAB WATCHDOG TIMER FAILURE
L	WYE' CONFIGURATION RELAY STATE
L0S0	TASK PRI. 0 SUB TASK PRI. 0
L1S0	TASK PRI. 1 SUB TASK PRI. 0
L1S4	LIMIT SWITCH
L4S2	TASK PRI. 4 SUB TASK PRI. 2
L4S3	TASK PRI. 4 SUB TASK PRI. 3
L5S0	TASK PRI. 5 SUB TASK PRI. 0
L5S1	TASK PRI. 5 SUB TASK PRI. 1
L5S2	TASK PRI. 5 SUB TASK PRI. 2
L6S0	TASK PRI. 6 SUB TASK PRI. 0
L7S0	TASK PRI. 7 SUB TASK PRI. 0
LACBLK	LOW AC BLACKOUT INDICATOR
LACF	FILTERED AC VOLTAGE LEVEL
LACINI	LOW AC PROFILE INITIALIZED
LACSET	LAC CONDITION FLAG
LACV	AC VOLTAGE LEVEL
LCF	LEVELING CONTROL FAILURE
LD	LOWER DEMAND
LDN	LEVEL DOWN
LE	WYE SWITCH RELAY EXCITATION
LFC	LIGHT + FAN CONTROL
LFCTIM	LIGHT + FAN CONTROL TIMER
LINK1	RETURN SAVER FOR PORCRC
LIST0	TASK PRIORITY LEVEL 0 POINTER
LIST1	TASK PRIORITY LEVEL 1 POINTER
LIST2	TASK PRIORITY LEVEL 2 POINTER
LIST3	TASK PRIORITY LEVEL 3 POINTER
LIST4	TASK PRIORITY LEVEL 4 POINTER
LIST5	TASK PRIORITY LEVEL 5 POINTER
LIST6	TASK PRIORITY LEVEL 6 POINTER
LIST7	TASK PRIORITY LEVEL 7 POINTER
LLR	LIGHT LOAD RELAY STATE
LLRE	LIGHT LOAD RELAY EXCITATION
LOM	LAST OPERATING MODE VALUE
LPT	LANDING PASSING TONE
LU	LEVEL UP
LVC2X	LEVELING CONTROL                     
LWCNTS	LOAD WGT COUNTS
LWD	LOAD WEIGHT FROM CAB
LWDE	LOAD WEIGHT IN CAR NOT EMPTY
LWDP	LOAD WGT IN POUNDS
M	DELTA' CONFIG. RELAY STATE
MAFR	MEMORY ALT. FLOOR RETURN
MASL	MEMORY ALT. SERVICE LANDING
MAU	MEMORY ADVANCE UP
MCEK	MEMORY CEK
MCEPS	MEMORY CAR ON EPS
MDB	MACHINE ROOM BUTTON DOWN
MDCB	MEMORY DOOR CLOSE BUTTON
MDFO	MEMORY DOOR FULLY OPEN
MDLC	MEMORY DOOR FULLY CLOSED
MDP	MEMORY DP
MDSG	MEMORY DOBLE STROKE GONG
MDT	MEMORY DT
MEDLC	MEMORY EMERGENCY DELAYED CAR
MEP	MEMORY EMERGENCY POWER
MERL	MEMORY ERL
MESH	MEMORY ESH
MFC	MOTOR FIELD SWITCH EXCITATION
MFS	MOTOR FIELD SWITCH RELAY STATE
MFSE	MOTOR FIELD SWITCH EXCITATION
MFW	MOTOR FIELD WEAKENING ALLOWED
MGCL	MEMORY GONG + LIGHT
MGD	MOTOR GENERATOR DEMAND
MGL	MG LIGHT
MGN	MEMORY GN
MGR	MOTOR GENERATOR REQUEST
MGRTIM	MOTOR GENERATOR REQUEST TIMER
MGS	MOTOR GEN START
MGTIME	MOTOR GEN TIMER
MGVERR	MGV ERROR CRU READ
MHL	MEMORY HL
MHSRV	MEMORY HALL STOP REVERSAL
MIAM	MEMORY INSTALLATION + MAINTENCE
MINDS	MEMORY INDEPENDENT SERVICE
MISS	MEMORY ISS
MISTIM	MIS TIMER
MLF1	MOTION LOGIC TIMER FLAG
MLFC	MEMORY LFC
MLFLAG	MOTION LOGIC FLAG
MLGD	MAIN LAMP + GONG DRIVER
MLI	MAIN LANDING INTERVAL (SECS)
MLIT	MULTI-LIGHT DISPLAY
MLIT1	MULTI-LIGHT DISPLAY
MLIT10	MULTI-LIGHT DISPLAY
MLIT11	MULTI-LIGHT DISPLAY
MLIT12	MULTI-LIGHT DISPLAY
MLIT13	MULTI-LIGHT DISPLAY
MLIT14	MULTI-LIGHT DISPLAY
MLIT15	MULTI-LIGHT DISPLAY
MLIT16	MULTI-LIGHT DISPLAY
MLIT17	MULTI-LIGHT DISPLAY
MLIT18	MULTI-LIGHT DISPLAY
MLIT19	MULTI-LIGHT DISPLAY
MLIT2	MULTI-LIGHT DISPLAY
MLIT20	MULTI-LIGHT DISPLAY
MLIT21	MULTI-LIGHT DISPLAY
MLIT22	MULTI-LIGHT DISPLAY
MLIT23	MULTI-LIGHT DISPLAY
MLIT24	MULTI-LIGHT DISPLAY
MLIT25	MULTI-LIGHT DISPLAY
MLIT26	MULTI-LIGHT DISPLAY
MLIT27	MULTI-LIGHT DISPLAY
MLIT28	MULTI-LIGHT DISPLAY
MLIT29	MULTI-LIGHT DISPLAY
MLIT3	MULTI-LIGHT DISPLAY
MLIT30	MULTI-LIGHT DISPLAY
MLIT31	MULTI-LIGHT DISPLAY
MLIT32	MULTI-LIGHT DISPLAY
MLIT33	MULTI-LIGHT DISPLAY
MLIT34	MULTI-LIGHT DISPLAY
MLIT35	MULTI-LIGHT DISPLAY
MLIT36	MULTI-LIGHT DISPLAY
MLIT37	MULTI-LIGHT DISPLAY
MLIT38	MULTI-LIGHT DISPLAY
MLIT39	MULTI-LIGHT DISPLAY
MLIT4	MULTI-LIGHT DISPLAY
MLIT40	MULTI-LIGHT DISPLAY
MLIT41	MULTI-LIGHT DISPLAY
MLIT42	MULTI-LIGHT DISPLAY
MLIT43	MULTI-LIGHT DISPLAY
MLIT44	MULTI-LIGHT DISPLAY
MLIT45	MULTI-LIGHT DISPLAY
MLIT46	MULTI-LIGHT DISPLAY
MLIT47	MULTI-LIGHT DISPLAY
MLIT48	MULTI-LIGHT DISPLAY
MLIT49	MULTI-LIGHT DISPLAY
MLIT5	MULTI-LIGHT DISPLAY
MLIT50	MULTI-LIGHT DISPLAY
MLIT51	MULTI-LIGHT DISPLAY
MLIT52	MULTI-LIGHT DISPLAY
MLIT53	MULTI-LIGHT DISPLAY
MLIT54	MULTI-LIGHT DISPLAY
MLIT55	MULTI-LIGHT DISPLAY
MLIT56	MULTI-LIGHT DISPLAY
MLIT57	MULTI-LIGHT DISPLAY
MLIT58	MULTI-LIGHT DISPLAY
MLIT59	MULTI-LIGHT DISPLAY
MLIT6	MULTI-LIGHT DISPLAY
MLIT60	MULTI-LIGHT DISPLAY
MLIT61	MULTI-LIGHT DISPLAY
MLIT62	MULTI-LIGHT DISPLAY
MLIT63	MULTI-LIGHT DISPLAY
MLIT64	MULTI-LIGHT DISPLAY
MLIT7	MULTI-LIGHT DISPLAY
MLIT8	MULTI-LIGHT DISPLAY
MLIT9	MULTI-LIGHT DISPLAY
MLS	MOTION LOGIC STATE
MLT	MAIN LANDING TIME
MMD	MACHINE MOTOR DOWN
MMGD	MEMORY MGD
MMGR	MEMORY MGR
MMON	MEMORY MONITOR
MMONT	MEMORY MONITOR TIME
MMU	MACHINE MOTOR UP
MODE	OPERATING MODE
MONTIM	MON TIMER
MPTS	REMEMBER PTS REQUEST
MR	MG REQUEST
MRDCB	MEMORY DCB
MRDFO	MEMORY REAR DOOR FULLY OPEN
MRLC	
MRQS	MG REQUEST TO START
MRVD	MEMORY RVD
MSAFE	REMEMBER SAFE
MSG1	SPEECH SYNTHESIZER MESSAGE 1
MSG2	SPEECH SYNTHESIZER MESSAGE 2
MSG3	SPEECH SYNTHESIZER MESSAGE 3
MSG4	SPEECH SYNTHESIZER MESSAGE 4
MSGT2	MESSAGE TIMER
MSGT5	MESSAGE TIMER
MSTF	
MTNSA1	MTN32 SAVE REGISTER LEVEL 1
MTNSA2	MTN32 SAVE REGISTER LEVEL 2
MTNSA3	MTN32 SAVE REGISTER LEVEL 3
MTNSA4	MTN32 SAVE REGISTER LEVEL 4
MTNSA5	MTN32 SAVE REGISTER LEVEL 5
MTNSA6	MTN32 SAVE REGISTER LEVEL 6
MUB	MACHINE ROOM UP BUTTON
NCPC	NEXT COMMITABLE CAR POSITION
NDG	NUDGE
NDHS	NEXT DOWN HALL STOP
NDIR	NUMBER OF DIRECTIVES SENT
NDO	NORMAL 'DO' SET BY MOTION
NEPS	EPS FLOOR
NERL	RETURN LANDING NUMBER
NGHD	NEXT GROUP HIGHER DEMAND
NGLD	NEXT GROUP LOWER DEMAND
NMODE	NORMAL MODE 9-13
NOPCF	BYPASS PCF CHECK INDICATOR
NP	NORMAL POWER
